OXFORD LASERS IMAGING SYSTEMS
VISISIZE ANALYSIS REPORT
VisiSize 6.5.44
C:\USERS\USER\DESKTOP\231121 - TXC\231121-152512-2-1B-2B-4X.TXT
21/11/2023 15:26:10
Size mode
Run: Run1(Live sequence:  - )

231121-152512-2-1b-2b-4x
Calibration: C:\Program Files (x86)\Oxford Lasers\VisiSize\Calibration\B1921_LO3X_4X.clb
B1921 Camera, Standard Lens Option 3X, Magnification Setting 4X, Type 2 .clb file

"p_air"	"2b"
"Nozzle ID"	"SUJ12"
"User"	"Lorenzo Becce"
"zDist"	"30"
"Nozzle specimen"	"txc"

SAMPLE ANALYSIS SUMMARY (diameters in microns)
Averages:
"Arithmetic mean"	16.4
"Surface mean"	18.3
"Volume mean"	21.3
"Sauter mean"	28.6
"Volume-weighted mean"	63.5
"Average velocity"	0.000e+00
Spread:
"Minimum diameter"	8.0
"Maximum diameter"	158.0
"Relative span"	2.21
"Deviation"	0.5
"Min velocity"	1000.0
"Max velocity"	0.0
Volume percentiles:
"10%"	14.8
"50%"	33.5
"90%"	88.7
"Sphericity"	0.89
Density:
"Particles/mm3"	2.53
"Surface area density(mm2/mm3)"	2.676e-03
"Volume density"	1.274e-05

PERFORMANCE SUMMARY
"In-focus count"	15023
"Video frames"	1707
"Empty frames"	79
"Particles / frame"	8.8
"Background intensity"	154
"Micron/pixel ratio"	1.353
"Magnification"	4.07
"Field of view (microns)"	"2641 x 1504"
"Max. Probe depth (microns)"	27428
"Max. Probe volume (cu mm)"	108.9449
"Surface area / volume ratio"	210.0
"Focus reject %"	79.5
"Shape reject %"	0.8
"Border reject %"	3.04
"Run time (sec)"	58

SYSTEM SETTINGS
"Focus rejection"	"ON"
"Border rejection"	"ON"
"DOF correction"	"ON"
"Edge contact correction"	"OFF"
"Shape rejection"	"ON"
"Background intensity rejection"	"OFF"
"System details"	""
"Micron/pixel ratio"	1.353
"Minimum particle area"	42
"Horizontal indents"	"0, 0"
"Vertical indents"	"0, 0"
"Threshold"	"Adaptive: 85"
"Diameter smoothing"	"None"
"Probe depth not restricted"	""
"Maximum particle area"	417832
"Shape parameter"	0.60
"Background rejection limits"	"120, 250"

"DIAMETER (microns)",,"RAW COUNT","PROBE VOLUME","% NUMBER","% AREA","% VOLUME","CUM % VOL"
   36.9,    38.1,    104,     7.79,   0.31,   1.30,   1.71, 56.9533, 
   38.1,    39.3,     83,     8.03,   0.24,   1.06,   1.44, 58.3943, 
   39.3,    40.6,     78,     8.28,   0.22,   1.04,   1.45, 59.8429, 
   40.6,    41.9,     77,     8.53,   0.21,   1.05,   1.52, 61.3634, 
   41.9,    43.2,     74,     8.79,   0.19,   1.05,   1.56, 62.9200, 
   43.2,    44.6,     60,     9.06,   0.15,   0.87,   1.34, 64.2563, 
   44.6,    46.0,     56,     9.33,   0.14,   0.84,   1.34, 65.5944, 
   46.0,    47.5,     57,     9.62,   0.14,   0.89,   1.46, 67.0561, 
   47.5,    49.0,     48,     9.91,   0.11,   0.78,   1.31, 68.3708, 
   49.0,    50.6,     42,     10.2,   0.10,   0.70,   1.22, 69.5930, 
   50.6,    52.2,     39,     10.5,   0.09,   0.67,   1.21, 70.8069, 
   52.2,    53.9,     40,     10.8,   0.09,   0.71,   1.32, 72.1235, 
   53.9,    55.6,     29,     11.2,   0.06,   0.53,   1.02, 73.1483, 
   55.6,    57.4,     39,     11.5,   0.08,   0.74,   1.46, 74.6129, 
   57.4,    59.2,     30,     11.8,   0.06,   0.59,   1.20, 75.8116, 
   59.2,    61.1,     21,     12.2,   0.04,   0.43,   0.90, 76.7097, 
   61.1,    63.0,     27,     12.6,   0.05,   0.57,   1.23, 77.9400, 
   63.0,    65.0,     19,     12.9,   0.03,   0.41,   0.93, 78.8705, 
   65.0,    67.1,     16,     13.3,   0.03,   0.36,   0.83, 79.7022, 
   67.1,    69.3,     18,     13.7,   0.03,   0.42,   1.00, 80.7032, 
   69.3,    71.5,     24,     14.1,   0.04,   0.58,   1.43, 82.1309, 
   71.5,    73.7,     21,     14.5,   0.03,   0.53,   1.34, 83.4667, 
   73.7,    76.1,     22,     14.9,   0.03,   0.57,   1.50, 84.9701, 
   76.1,    78.5,     11,     15.4,   0.02,   0.29,   0.79, 85.7597, 
   78.5,    81.0,      4,     15.8,   0.01,   0.11,   0.31, 86.0681, 
   81.0,    83.6,     10,     16.3,   0.01,   0.28,   0.81, 86.8806, 
   83.6,    86.3,     16,     16.8,   0.02,   0.47,   1.40, 88.2826, 
   86.3,    89.0,     21,     17.3,   0.03,   0.64,   1.97, 90.2488, 
